,position,salary,company_name,city,experience,education,welfare,company_type,company_scale,company_major,_id
1351,Java工程师,0.5-1万/月,昆明迪森电气有限公司,昆明,2年经验,本科,"五险一金,员工旅游,专业培训,年终奖金,定期体检,带薪年假,意外伤害险,自助午餐",民营公司,少于50人,计算机服务(系统、数据服务、维修),5dc8e90a5955fa04c54b9bbb
1352,Java中级开发工程师(J10064),1-1.5万/月,丹秋教育集团（名师堂学校）,成都-青羊区,3-4年经验,大专,"五险一金,员工旅游,绩效奖金,专业培训,年终奖金,周末双休,年底双薪,不加班,出国机会",民营公司,50-150人,教育/培训/院校,5dc8e90b5955fa04c54b9bbc
1353,Java开发工程师,0.8-1万/月,南京中科盟联信息科技有限公司,南京-玄武区,1年经验,招2人,"五险一金,员工旅游,绩效奖金,年终奖金,立即上岗,职位提升,专业培训,周末双休",民营公司,50-150人,电气/电力/水利,5dc8e90c5955fa04c54b9bbd
1354,Java开发工程师,1-1.5万/月,企事通集团有限公司,杭州-江干区,2年经验,本科,"带薪年假,餐饮补贴,节日福利,高温补贴,全勤奖,绩效奖金,五险,大小休,年终奖金,定期体检",民营公司,1000-5000人,教育/培训/院校,5dc8e90d5955fa04c54b9bbe
1355,Java开发工程师,0.8-1.5万/月,深圳市发掘科技有限公司,深圳-宝安区,3-4年经验,本科,"五险一金,弹性工作,员工旅游,年终奖金,带薪年假,节日福利",民营公司,150-500人,通信/电信/网络设备,5dc8e90f5955fa04c54b9bbf
1356,Java软件工程师,4.5-6千/月,上海艾舜杰信息科技有限公司,上海-徐汇区,1年经验,本科,"五险一金,通讯补贴,专业培训,定期体检",民营公司,500-1000人,办公用品及设备,5dc8e9105955fa04c54b9bc0
1357,JAVA研发工程师(高薪急招),0.7-1.5万/月,联奕科技有限公司,广州-天河区,1年经验,本科,"五险一金,员工旅游,定期体检,专业培训,股票期权,年终奖金,绩效奖金,天台花园",民营公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e9115955fa04c54b9bc1
1358,Java开发工程师,10-20万/年,广州致远互联软件有限公司,广州-天河区,2年经验,本科,"五险一金,员工旅游,交通补贴,绩效奖金,定期体检,餐饮补贴,通讯补贴,专业培训,年终奖金,弹性工作",合资,50-150人,计算机软件,5dc8e9125955fa04c54b9bc2
1359,Java高级开发工程师,1.4-1.8万/月,深圳市优点创想网络科技有限公司,深圳,3-4年经验,大专,,上市公司,500-1000人,计算机软件,5dc8e9135955fa04c54b9bc3
1360,Java开发工程师,0.9-1.3万/月,广州市奥锐管理顾问有限公司,广州-黄埔区,3-4年经验,大专,"员工旅游,绩效奖金,朝九晚六,超长带薪年假,自助餐,带薪培训,通讯补贴,补充医疗保险,免费咖啡,五险一金",民营公司,50-150人,计算机软件,5dc8e9145955fa04c54b9bc4
1361,Java开发工程师,0.8-1.2万/月,深圳市发掘科技有限公司,重庆-渝北区,3-4年经验,本科,"五险一金,法定节假日,带薪年假,生日礼品,入职周年礼,员工旅游,出国机会,专业培训,年终奖金,股票期权",民营公司,50-150人,互联网/电子商务,5dc8e9185955fa04c54b9bc5
1362,java开发工程师（五险+各种福利）,0.8-1.2万/月,杭州常青藤智慧科技有限公司,杭州-西湖区,1年经验,本科,"五险一金,餐饮补贴,年终奖金,交通补贴,绩效奖金,定期体检,弹性工作,股票期权,出国机会,员工旅游",创业公司,少于50人,计算机软件,5dc8e9195955fa04c54b9bc6
1363,java技术开发、软件工程师,0.8-1万/月,中企信诚(北京)防伪技术有限公司,北京-大兴区,5-7年经验,大专,,民营公司,50-150人,印刷/包装/造纸,5dc8e91a5955fa04c54b9bc7
1364,Java高级开发工程师,1-2万/月,西安导学教育科技有限公司,西安-高新技术产业开发区,3-4年经验,本科,"五险一金,周末双休,带薪年假",民营公司,150-500人,教育/培训/院校,5dc8e91b5955fa04c54b9bc8
1365,Java中级软件工程师,0.7-1.1万/月,上海易予信息技术有限公司,南京-鼓楼区,3-4年经验,大专,"五险一金,补充医疗保险,员工旅游,餐饮补贴,专业培训,出国机会,年终奖金,定期体检",民营公司,50-150人,计算机软件,5dc8e91c5955fa04c54b9bc9
1366,JAVA工程师（锦源）,0.7-2万/月,广州智算信息技术有限公司,广州-番禺区,5-7年经验,本科,"五险一金,定期体检,补充医疗保险,绩效奖金",民营公司,50-150人,计算机软件,5dc8e91d5955fa04c54b9bca
1367,JAVA开发工程师（数据仓库）,1.5-3万/月,上海愉玩信息科技有限公司,上海,2年经验,本科,"五险一金,定期体检,年终奖金,员工旅游,带薪年假,免费工作餐",民营公司,150-500人,网络游戏,5dc8e91e5955fa04c54b9bcb
